,filename-destination,filesize-destination,unit-destination,filesize-origin (GB),filename-origin
289,twitter_stream_2019_08_15.tar,1.9,GiB,1.9,twitter_stream_2019_08_15.tar
290,twitter_stream_2019_08_16.tar,1.8,GiB,1.8,twitter_stream_2019_08_16.tar
291,twitter_stream_2019_08_17.tar,1.8,GiB,1.8,twitter_stream_2019_08_17.tar
292,twitter_stream_2019_08_18.tar,1.9,GiB,1.9,twitter_stream_2019_08_18.tar
293,twitter_stream_2019_08_19.tar,1.8,GiB,1.8,twitter_stream_2019_08_19.tar
294,twitter_stream_2019_08_20.tar,1.9,GiB,1.9,twitter_stream_2019_08_20.tar
295,twitter_stream_2019_08_21.tar,1.9,GiB,1.9,twitter_stream_2019_08_21.tar
296,twitter_stream_2019_08_22.tar,1.9,GiB,1.9,twitter_stream_2019_08_22.tar
297,twitter_stream_2019_08_23.tar,1.9,GiB,1.9,twitter_stream_2019_08_23.tar
298,twitter_stream_2019_08_24.tar,1.8,GiB,1.8,twitter_stream_2019_08_24.tar
299,twitter_stream_2019_08_25.tar,1.8,GiB,1.8,twitter_stream_2019_08_25.tar
300,twitter_stream_2019_08_26.tar,1.8,GiB,1.8,twitter_stream_2019_08_26.tar
301,twitter_stream_2019_08_27.tar,1.9,GiB,1.9,twitter_stream_2019_08_27.tar
302,twitter_stream_2019_08_28.tar,1.9,GiB,1.9,twitter_stream_2019_08_28.tar
303,twitter_stream_2019_08_29.tar,1.9,GiB,1.9,twitter_stream_2019_08_29.tar
304,twitter_stream_2019_08_30.tar,1.9,GiB,1.9,twitter_stream_2019_08_30.tar
305,twitter_stream_2019_08_31.tar,1.9,GiB,1.9,twitter_stream_2019_08_31.tar
306,twitter_stream_2019_09_01.tar,2.0,GiB,2.0,twitter_stream_2019_09_01.tar
307,twitter_stream_2019_09_02.tar,1.9,GiB,1.9,twitter_stream_2019_09_02.tar
308,twitter_stream_2019_09_03.tar,1.8,GiB,1.8,twitter_stream_2019_09_03.tar
309,twitter_stream_2019_09_04.tar,1.9,GiB,1.9,twitter_stream_2019_09_04.tar
310,twitter_stream_2019_09_05.tar,1.9,GiB,1.9,twitter_stream_2019_09_05.tar
311,twitter_stream_2019_09_06.tar,1.9,GiB,1.9,twitter_stream_2019_09_06.tar
312,twitter_stream_2019_09_07.tar,1.8,GiB,1.8,twitter_stream_2019_09_07.tar
313,twitter_stream_2019_09_08.tar,1.9,GiB,1.9,twitter_stream_2019_09_08.tar
314,twitter_stream_2019_09_09.tar,1.8,GiB,1.8,twitter_stream_2019_09_09.tar
315,twitter_stream_2019_09_10.tar,1.8,GiB,1.8,twitter_stream_2019_09_10.tar
316,twitter_stream_2019_09_11.tar,1.9,GiB,1.9,twitter_stream_2019_09_11.tar
317,twitter_stream_2019_09_12.tar,1.9,GiB,1.9,twitter_stream_2019_09_12.tar
318,twitter_stream_2019_09_13.tar,1.8,GiB,1.8,twitter_stream_2019_09_13.tar
319,twitter_stream_2019_09_16.tar,1.5,GiB,1.5,twitter_stream_2019_09_16.tar
320,twitter_stream_2019_09_17.tar,1.9,GiB,1.9,twitter_stream_2019_09_17.tar
321,twitter_stream_2019_09_18.tar,1.9,GiB,1.9,twitter_stream_2019_09_18.tar
322,twitter_stream_2019_09_19.tar,1.9,GiB,1.9,twitter_stream_2019_09_19.tar
323,twitter_stream_2019_09_20.tar,1.9,GiB,1.9,twitter_stream_2019_09_20.tar
324,twitter_stream_2019_09_21.tar,2.0,GiB,2.0,twitter_stream_2019_09_21.tar
325,twitter_stream_2019_09_22.tar,2.0,GiB,2.0,twitter_stream_2019_09_22.tar
326,twitter_stream_2019_09_23.tar,2.0,GiB,2.0,twitter_stream_2019_09_23.tar
327,twitter_stream_2019_09_24.tar,2.0,GiB,2.0,twitter_stream_2019_09_24.tar
328,twitter_stream_2019_09_25.tar,2.0,GiB,2.0,twitter_stream_2019_09_25.tar
329,twitter_stream_2019_09_26.tar,2.0,GiB,2.0,twitter_stream_2019_09_26.tar
330,twitter_stream_2019_09_27.tar,2.0,GiB,2.0,twitter_stream_2019_09_27.tar
331,twitter_stream_2019_09_28.tar,2.0,GiB,2.0,twitter_stream_2019_09_28.tar
332,twitter_stream_2019_09_29.tar,2.0,GiB,2.0,twitter_stream_2019_09_29.tar
333,twitter_stream_2019_09_30.tar,2.0,GiB,2.0,twitter_stream_2019_09_30.tar
334,twitter_stream_2019_10_01.tar,1.9,GiB,1.9,twitter_stream_2019_10_01.tar
335,twitter_stream_2019_10_02.tar,1.8,GiB,1.8,twitter_stream_2019_10_02.tar
336,twitter_stream_2019_10_03.tar,1.9,GiB,1.9,twitter_stream_2019_10_03.tar
337,twitter_stream_2019_10_04.tar,1.9,GiB,1.9,twitter_stream_2019_10_04.tar
338,twitter_stream_2019_10_05.tar,1.9,GiB,1.9,twitter_stream_2019_10_05.tar
339,twitter_stream_2019_10_06.tar,439.1,MiB,0.44,twitter_stream_2019_10_06.tar
340,twitter_stream_2019_10_07.tar,1.9,GiB,1.9,twitter_stream_2019_10_07.tar
341,twitter_stream_2019_10_08.tar,1.9,GiB,1.9,twitter_stream_2019_10_08.tar
342,twitter_stream_2019_10_09.tar,2.0,GiB,2.0,twitter_stream_2019_10_09.tar
343,twitter_stream_2019_10_10.tar,2.0,GiB,2.0,twitter_stream_2019_10_10.tar
344,twitter_stream_2019_10_11.tar,2.0,GiB,2.0,twitter_stream_2019_10_11.tar
345,twitter_stream_2019_10_12.tar,2.1,GiB,2.1,twitter_stream_2019_10_12.tar
346,twitter_stream_2019_10_13.tar,806.2,MiB,0.81,twitter_stream_2019_10_13.tar
347,twitter_stream_2019_10_21.tar,1.5,GiB,1.5,twitter_stream_2019_10_21.tar
348,twitter_stream_2019_10_23.tar,2.0,GiB,2.0,twitter_stream_2019_10_23.tar
349,twitter_stream_2019_10_24.tar,2.0,GiB,2.0,twitter_stream_2019_10_24.tar
350,twitter_stream_2019_10_25.tar,2.0,GiB,2.0,twitter_stream_2019_10_25.tar
351,twitter_stream_2019_10_26.tar,2.0,GiB,2.0,twitter_stream_2019_10_26.tar
352,twitter_stream_2019_10_27.tar,2.1,GiB,2.1,twitter_stream_2019_10_27.tar
353,twitter_stream_2019_10_28.tar,2.0,GiB,2.0,twitter_stream_2019_10_28.tar
354,twitter_stream_2019_10_29.tar,2.1,GiB,2.1,twitter_stream_2019_10_29.tar
355,twitter_stream_2019_10_30.tar,1.9,GiB,1.9,twitter_stream_2019_10_30.tar
356,twitter_stream_2019_10_31.tar,2.0,GiB,2.0,twitter_stream_2019_10_31.tar
357,twitter_stream_2019_11_01.tar,2.0,GiB,2.0,twitter_stream_2019_11_01.tar
358,twitter_stream_2019_11_02.tar,2.0,GiB,2.0,twitter_stream_2019_11_02.tar
359,twitter_stream_2019_11_03.tar,2.1,GiB,2.1,twitter_stream_2019_11_03.tar
360,twitter_stream_2019_11_04.tar,2.0,GiB,2.0,twitter_stream_2019_11_04.tar
361,twitter_stream_2019_11_05.tar,2.0,GiB,2.0,twitter_stream_2019_11_05.tar
362,twitter_stream_2019_11_06.tar,2.0,GiB,2.0,twitter_stream_2019_11_06.tar
363,twitter_stream_2019_11_07.tar,2.0,GiB,2.0,twitter_stream_2019_11_07.tar
364,twitter_stream_2019_11_08.tar,2.0,GiB,2.0,twitter_stream_2019_11_08.tar
365,twitter_stream_2019_11_09.tar,2.0,GiB,2.0,twitter_stream_2019_11_09.tar
366,twitter_stream_2019_11_10.tar,2.1,GiB,2.1,twitter_stream_2019_11_10.tar
367,twitter_stream_2019_11_11.tar,2.1,GiB,2.1,twitter_stream_2019_11_11.tar
368,twitter_stream_2019_11_12.tar,2.1,GiB,2.1,twitter_stream_2019_11_12.tar
369,twitter_stream_2019_11_13.tar,2.1,GiB,2.1,twitter_stream_2019_11_13.tar
370,twitter_stream_2019_11_14.tar,2.0,GiB,2.0,twitter_stream_2019_11_14.tar
371,twitter_stream_2019_11_15.tar,2.0,GiB,2.0,twitter_stream_2019_11_15.tar
372,twitter_stream_2019_11_16.tar,2.0,GiB,2.0,twitter_stream_2019_11_16.tar
373,twitter_stream_2019_11_17.tar,2.0,GiB,2.0,twitter_stream_2019_11_17.tar
374,twitter_stream_2019_11_18.tar,1.9,GiB,1.9,twitter_stream_2019_11_18.tar
375,twitter_stream_2019_11_19.tar,2.0,GiB,2.0,twitter_stream_2019_11_19.tar
376,twitter_stream_2019_11_20.tar,2.0,GiB,2.0,twitter_stream_2019_11_20.tar
377,twitter_stream_2019_11_21.tar,2.0,GiB,2.0,twitter_stream_2019_11_21.tar
378,twitter_stream_2019_11_22.tar,1.9,GiB,1.9,twitter_stream_2019_11_22.tar
379,twitter_stream_2019_11_23.tar,20.0,KiB,0.0,twitter_stream_2019_11_23.tar
380,twitter_stream_2019_11_24.tar,20.0,KiB,0.0,twitter_stream_2019_11_24.tar
381,twitter_stream_2019_11_25.tar,1.9,GiB,1.9,twitter_stream_2019_11_25.tar
382,twitter_stream_2019_11_26.tar,2.0,GiB,2.0,twitter_stream_2019_11_26.tar
383,twitter_stream_2019_11_27.tar,2.0,GiB,2.0,twitter_stream_2019_11_27.tar
384,twitter_stream_2019_11_28.tar,1.9,GiB,1.9,twitter_stream_2019_11_28.tar
385,twitter_stream_2019_11_29.tar,1.8,GiB,1.8,twitter_stream_2019_11_29.tar
386,twitter_stream_2019_11_30.tar,2.1,GiB,2.1,twitter_stream_2019_11_30.tar
387,twitter_stream_2019_12_01.tar,2.0,GiB,2.0,twitter_stream_2019_12_01.tar
388,twitter_stream_2019_12_02.tar,2.0,GiB,2.0,twitter_stream_2019_12_02.tar
389,twitter_stream_2019_12_03.tar,2.0,GiB,2.0,twitter_stream_2019_12_03.tar
390,twitter_stream_2019_12_04.tar,2.2,GiB,2.2,twitter_stream_2019_12_04.tar
391,twitter_stream_2019_12_05.tar,2.0,GiB,2.0,twitter_stream_2019_12_05.tar
392,twitter_stream_2019_12_06.tar,2.0,GiB,2.0,twitter_stream_2019_12_06.tar
393,twitter_stream_2019_12_07.tar,1.9,GiB,1.9,twitter_stream_2019_12_07.tar
394,twitter_stream_2019_12_08.tar,2.0,GiB,2.0,twitter_stream_2019_12_08.tar
395,twitter_stream_2019_12_09.tar,2.0,GiB,2.0,twitter_stream_2019_12_09.tar
396,twitter_stream_2019_12_10.tar,2.0,GiB,2.0,twitter_stream_2019_12_10.tar
397,twitter_stream_2019_12_11.tar,2.0,GiB,2.0,twitter_stream_2019_12_11.tar
398,twitter_stream_2019_12_12.tar,2.0,GiB,2.0,twitter_stream_2019_12_12.tar
399,twitter_stream_2019_12_13.tar,1.9,GiB,1.9,twitter_stream_2019_12_13.tar
400,twitter_stream_2019_12_14.tar,2.0,GiB,2.0,twitter_stream_2019_12_14.tar
401,twitter_stream_2019_12_15.tar,2.0,GiB,2.0,twitter_stream_2019_12_15.tar
402,twitter_stream_2019_12_16.tar,2.0,GiB,2.0,twitter_stream_2019_12_16.tar
403,twitter_stream_2019_12_17.tar,2.0,GiB,2.0,twitter_stream_2019_12_17.tar
404,twitter_stream_2019_12_18.tar,2.0,GiB,2.0,twitter_stream_2019_12_18.tar
405,twitter_stream_2019_12_19.tar,2.0,GiB,2.0,twitter_stream_2019_12_19.tar
406,twitter_stream_2019_12_20.tar,1.9,GiB,1.9,twitter_stream_2019_12_20.tar
407,twitter_stream_2019_12_21.tar,1.9,GiB,1.9,twitter_stream_2019_12_21.tar
408,twitter_stream_2019_12_22.tar,1.9,GiB,1.9,twitter_stream_2019_12_22.tar
409,twitter_stream_2019_12_23.tar,1.9,GiB,1.9,twitter_stream_2019_12_23.tar
410,twitter_stream_2019_12_24.tar,1.9,GiB,1.9,twitter_stream_2019_12_24.tar
411,twitter_stream_2019_12_25.tar,1.9,GiB,1.9,twitter_stream_2019_12_25.tar
412,twitter_stream_2019_12_26.tar,1.8,GiB,1.8,twitter_stream_2019_12_26.tar
413,twitter_stream_2019_12_27.tar,2.0,GiB,2.0,twitter_stream_2019_12_27.tar
414,twitter_stream_2019_12_28.tar,1.9,GiB,1.9,twitter_stream_2019_12_28.tar
415,twitter_stream_2019_12_29.tar,2.0,GiB,2.0,twitter_stream_2019_12_29.tar
416,twitter_stream_2019_12_30.tar,2.0,GiB,2.0,twitter_stream_2019_12_30.tar
417,twitter_stream_2019_12_31.tar,2.3,GiB,2.3,twitter_stream_2019_12_31.tar
